Algorithm;Sample Size;Number Elements;avg Time (ms);avg Time (ns)
quicksort middle pivot;1000000;1000;0.001106;104173.24
quicksort middle pivot;10000;10000;1.0456;1447287.8
quicksort middle pivot;10000;20000;2.8795;3199165.8
quicksort middle pivot;1000;30000;4.65;5300999.0
quicksort middle pivot;1000;40000;6.638;7241165.5
quicksort middle pivot;1000;50000;8.658;9163287.0
quicksort middle pivot;1000;60000;10.536;1.105642E7
quicksort middle pivot;1000;70000;12.726;1.3252749E7
quicksort middle pivot;1000;80000;14.639;1.514997E7
quicksort middle pivot;1000;90000;16.541;1.7053136E7
quicksort middle pivot;1000;100000;18.471;1.8948292E7
quicksort middle pivot;500;200000;44.462;4.4962764E7
quicksort middle pivot;250;300000;142.736;1.43274496E8
quicksort middle pivot;150;400000;189.56;1.90098E8
quicksort middle pivot;150;500000;226.72667;2.27205824E8
quicksort middle pivot;75;600000;288.8;2.89368064E8
quicksort middle pivot;75;700000;335.50665;3.35986592E8
quicksort middle pivot;50;800000;387.78;3.88278368E8
quicksort middle pivot;50;900000;494.26;4.94672448E8
quicksort middle pivot;50;1000000;525.0;5.25543392E8
quicksort middle pivot;25;2000000;1068.84;1.06926394E9
quicksort middle pivot;10;3000000;1686.3;1.68677786E9
quicksort middle pivot;10;4000000;2346.0;2.3465641E9
quicksort middle pivot;10;5000000;2844.1;2.84444237E9
quicksort middle pivot;5;6000000;3567.0;3.56747136E9
quicksort middle pivot;5;7000000;4159.0;4.15953792E9
quicksort middle pivot;5;8000000;4760.2;4.7605627E9
quicksort middle pivot;5;9000000;5530.4;5.5309445E9
quicksort middle pivot;5;10000000;6182.8;6.1831747E9
quicksort middle pivot;3;20000000;13101.0;1.3101441E10
quicksort middle pivot;3;30000000;22094.0;2.20944671E10
quicksort middle pivot;3;40000000;29356.0;2.93562614E10
quicksort middle pivot;3;50000000;38956.668;3.8957388E10
